iteration,t_cmd_build_us,t_cmd_serialize_us,t_cmd_parse_us,t_cmd_verify_us,t_ack_build_us,t_ack_serialize_us,t_status_build_us,t_status_serialize_us,T_coord_total_us
585,43.371,14.737,22.07,11.803,21.581,14.107,25.911,14.527,168.107
586,49.936,14.876,12.362,12.432,30.031,14.737,32.895,15.295,182.564
587,48.609,18.298,15.854,14.248,32.406,14.876,43.301,25.353,212.945
588,47.771,16.971,15.714,11.245,28.145,13.759,31.428,39.74,204.773
589,48.679,16.133,23.467,12.711,38.342,13.479,30.521,16.063,199.395
590,46.723,14.807,18.019,12.501,47.073,22.558,33.734,17.53,212.945
591,47.562,16.343,14.666,11.035,30.451,13.409,32.476,69.212,235.154
592,54.336,13.968,11.803,9.01,20.533,10.476,24.305,14.876,159.307
593,42.743,13.829,10.825,8.451,45.885,12.851,31.498,12.781,178.863
594,49.099,12.082,11.803,6.216,21.371,9.918,24.165,11.384,146.038
595,32.476,9.987,17.111,15.784,33.384,18.648,28.565,11.873,167.828
596,39.67,14.666,14.667,16.273,23.885,11.454,21.441,11.454,153.51
597,32.476,15.225,22.07,18.438,41.136,16.972,33.174,17.111,196.602
598,49.028,16.692,14.806,11.454,28.216,14.177,32.895,20.115,187.383
599,55.314,27.587,16.203,12.362,31.498,15.714,30.102,16.622,205.402
600,43.441,16.273,14.247,10.477,27.168,12.082,30.032,17.53,171.25
601,55.175,17.32,15.156,11.593,23.048,11.104,21.791,11.593,166.78
602,31.917,13.34,10.546,8.101,20.044,9.918,20.673,10.755,125.294
603,37.784,10.965,10.336,8.032,20.882,9.429,23.466,11.314,132.208
604,31.499,11.803,9.498,8.241,20.394,9.568,22.349,35.829,149.181
605,36.038,12.152,21.511,9.009,22.0,9.988,20.533,10.965,142.196
606,31.428,9.708,10.337,8.101,22.419,10.476,21.022,11.315,124.806
607,35.06,12.013,10.336,8.242,19.904,9.149,19.975,10.965,125.644
608,31.498,11.245,10.546,7.752,20.394,10.126,20.813,11.175,123.549
609,31.359,10.825,10.546,7.683,20.393,10.616,20.882,10.616,122.92
610,40.996,17.74,11.384,9.079,23.257,9.708,20.813,10.406,143.383
611,35.13,10.826,9.568,7.752,19.416,8.66,19.905,29.682,140.939
612,36.666,11.454,10.546,7.683,20.184,9.149,18.787,10.965,125.434
613,31.918,9.917,9.568,7.264,19.416,8.66,19.485,9.569,115.797
614,29.124,9.847,10.057,7.194,18.927,9.498,20.324,9.009,113.98
615,31.009,10.057,9.498,6.635,17.74,8.94,18.717,9.987,112.583
616,31.009,10.127,9.498,7.543,18.787,8.87,19.207,9.498,114.539
617,76.266,10.546,9.917,7.613,20.114,8.94,19.136,10.476,163.008
618,29.053,9.638,9.848,6.705,20.114,8.939,18.997,9.848,113.142
619,28.635,9.568,25.702,12.501,21.791,10.127,19.485,10.127,137.936
620,29.612,9.918,10.057,7.752,18.787,9.568,18.857,9.918,114.469
621,29.054,9.987,9.429,7.263,19.067,8.52,19.137,9.987,112.444
622,29.054,9.149,11.733,9.15,19.066,8.94,18.577,10.267,115.936
623,30.52,10.127,9.009,7.543,18.718,8.52,19.137,9.917,113.491
624,29.542,10.057,16.203,7.613,19.695,9.359,19.276,10.755,122.5
625,32.337,11.174,9.988,6.565,19.136,9.009,19.626,9.987,117.822
626,29.612,8.591,11.942,7.543,18.718,8.939,19.206,9.08,113.631
627,45.047,11.035,9.917,8.102,19.695,9.359,19.136,9.987,132.278
628,29.542,10.127,9.359,7.682,17.67,7.543,19.276,9.848,111.047
629,29.333,9.918,10.197,8.52,24.305,14.666,27.238,12.921,137.098
630,45.816,16.692,14.736,8.731,22.139,10.057,22.14,10.546,150.857
631,31.498,10.336,10.616,8.102,19.974,11.454,20.044,11.454,123.478
632,35.758,23.816,13.898,11.035,30.87,10.895,22.489,10.895,159.656
633,33.384,13.409,10.895,8.172,19.974,9.568,19.486,11.524,126.412
634,66.978,11.733,10.406,7.264,19.904,9.15,19.485,10.057,154.977
635,29.612,9.918,9.568,7.193,19.067,9.009,19.067,10.057,113.491
636,28.845,10.057,9.289,7.612,19.137,9.009,19.136,9.918,113.003
637,29.054,9.708,9.429,7.612,18.718,8.939,19.206,9.918,112.584
638,31.219,10.546,9.848,7.543,19.206,8.939,18.648,11.873,117.822
639,29.054,9.708,10.406,7.543,19.206,8.94,21.581,11.803,118.241
640,28.146,10.127,9.498,6.984,19.137,8.59,18.997,9.568,111.047
641,28.704,9.918,9.149,7.543,19.136,8.591,18.996,27.657,129.694
642,31.499,10.476,9.847,7.543,16.203,9.359,19.625,9.987,114.539
643,29.124,10.057,9.079,7.613,18.647,8.94,19.136,9.988,112.584
644,30.451,10.057,18.578,8.031,19.556,9.777,19.137,9.987,125.574
645,30.45,10.127,9.568,7.613,18.648,8.939,21.581,16.622,123.548
